species,muscle,strand,lmt0,ox,oy,oz,ix,iy,iz
m_fascicularis,masseter,m_masseter_01,22.36788559,44.36893082,49.27860641,0,41.97186661,29.42640686,0
m_fascicularis,masseter,m_masseter_02,27.57982063,54.68237305,47.9429245,0,48.87497711,23.87693405,0
m_fascicularis,masseter,m_masseter_03,25.79885101,65.89229584,47.73226547,0,58.17721558,24.00762558,0
m_fascicularis,pterygoid_medial,m_pterygoid_medial_01,19.11266708,47.36758041,49.73299026,0,41.28682327,35.01803589,0
m_fascicularis,pterygoid_medial,m_pterygoid_medial_02,27.52967072,50.57780457,50.21185303,0,48.50669098,23.64990234,0
m_fascicularis,pterygoid_medial,m_pterygoid_medial_03,24.62030411,53.71339035,47.27251434,0,60.7714653,23.86355209,0
m_fascicularis,temporalis,m_temporalis_01,32.59491348,57.44370651,74.69805908,0,55.75318146,42.26560211,0
m_fascicularis,temporalis,m_temporalis_02,22.04314232,43.8447113,70.03134918,0,53.63845825,50.61203766,0
m_fascicularis,temporalis,m_temporalis_03,20.34383774,34.25031662,57.43387222,0,51.12491226,47.77720642,0
m_murinus,masseter,m_masseter_01,6.615745068,8.972499847,10.0017004,0,7.996880054,4.184299946,0
m_murinus,masseter,m_masseter_02,6.111708164,18.69120598,9.153291702,0,16.03872681,4.599180222,0
m_murinus,masseter,m_masseter_03,8.297923088,14.43970013,10.40799999,0,12.24540043,4.488969803,0
m_murinus,pterygoid_medial,m_pterygoid_medial_01,7.211548805,12.08944225,10.8214674,0,11.50773716,4.199563026,0
m_murinus,pterygoid_medial,m_pterygoid_medial_02,7.194214344,9.982281685,10.35372543,0,8.24225235,4.05118227,0
m_murinus,pterygoid_medial,m_pterygoid_medial_03,4.893588543,13.9481287,9.08698082,0,14.78905869,4.392921448,0
m_murinus,temporalis,m_temporalis_01,7.227953434,4.46821928,13.14751816,0,11.09425068,10.61505222,0
m_murinus,temporalis,m_temporalis_02,7.879658222,5.433874607,17.73279953,0,11.91403103,13.33561897,0
m_murinus,temporalis,m_temporalis_03,10.85098362,11.96753311,18.51875114,0,15.90808392,8.534767151,0
